date;store;item;sales
15.09.2013;1;7;59
16.09.2013;1;7;33
17.09.2013;1;7;33
18.09.2013;1;7;38
19.09.2013;1;7;36
20.09.2013;1;7;40
21.09.2013;1;7;61
22.09.2013;1;7;65
23.09.2013;1;7;44
24.09.2013;1;7;46
25.09.2013;1;7;48
26.09.2013;1;7;46
27.09.2013;1;7;48
28.09.2013;1;7;58
29.09.2013;1;7;61
30.09.2013;1;7;43
1.10.2013;1;7;42
2.10.2013;1;7;43
3.10.2013;1;7;48
4.10.2013;1;7;55
5.10.2013;1;7;45
6.10.2013;1;7;70
7.10.2013;1;7;22
8.10.2013;1;7;34
9.10.2013;1;7;45
10.10.2013;1;7;47
11.10.2013;1;7;55
12.10.2013;1;7;51
13.10.2013;1;7;61
14.10.2013;1;7;42
15.10.2013;1;7;30
16.10.2013;1;7;30
17.10.2013;1;7;48
18.10.2013;1;7;54
19.10.2013;1;7;56
20.10.2013;1;7;49
21.10.2013;1;7;30
22.10.2013;1;7;50
23.10.2013;1;7;41
24.10.2013;1;7;41
25.10.2013;1;7;48
26.10.2013;1;7;53
27.10.2013;1;7;53
28.10.2013;1;7;41
29.10.2013;1;7;29
30.10.2013;1;7;45
31.10.2013;1;7;43
1.11.2013;1;7;57
2.11.2013;1;7;60
3.11.2013;1;7;57
4.11.2013;1;7;39
5.11.2013;1;7;42
6.11.2013;1;7;54
7.11.2013;1;7;55
8.11.2013;1;7;51
9.11.2013;1;7;49
10.11.2013;1;7;63
11.11.2013;1;7;27
12.11.2013;1;7;36
13.11.2013;1;7;50
14.11.2013;1;7;58
15.11.2013;1;7;52
16.11.2013;1;7;47
17.11.2013;1;7;57
18.11.2013;1;7;29
19.11.2013;1;7;38
20.11.2013;1;7;44
21.11.2013;1;7;50
22.11.2013;1;7;51
23.11.2013;1;7;54
24.11.2013;1;7;42
25.11.2013;1;7;23
26.11.2013;1;7;45
27.11.2013;1;7;41
28.11.2013;1;7;40
29.11.2013;1;7;55
30.11.2013;1;7;56
1.12.2013;1;7;38
2.12.2013;1;7;25
3.12.2013;1;7;27
4.12.2013;1;7;40
5.12.2013;1;7;40
6.12.2013;1;7;39
7.12.2013;1;7;42
8.12.2013;1;7;40
9.12.2013;1;7;23
10.12.2013;1;7;41
11.12.2013;1;7;24
12.12.2013;1;7;30
13.12.2013;1;7;49
14.12.2013;1;7;33
15.12.2013;1;7;39
16.12.2013;1;7;23
17.12.2013;1;7;32
18.12.2013;1;7;22
19.12.2013;1;7;36
20.12.2013;1;7;37
21.12.2013;1;7;38
22.12.2013;1;7;47
23.12.2013;1;7;14
24.12.2013;1;7;34
25.12.2013;1;7;35
26.12.2013;1;7;28
27.12.2013;1;7;30
28.12.2013;1;7;31
29.12.2013;1;7;43
30.12.2013;1;7;20
31.12.2013;1;7;35
1.01.2014;1;7;37
2.01.2014;1;7;39
3.01.2014;1;7;39
4.01.2014;1;7;43
5.01.2014;1;7;53
6.01.2014;1;7;25
7.01.2014;1;7;35
8.01.2014;1;7;34
9.01.2014;1;7;26
10.01.2014;1;7;39
11.01.2014;1;7;41
12.01.2014;1;7;48
13.01.2014;1;7;24
14.01.2014;1;7;34
15.01.2014;1;7;28
16.01.2014;1;7;29
17.01.2014;1;7;40
18.01.2014;1;7;39
19.01.2014;1;7;36
20.01.2014;1;7;39
21.01.2014;1;7;34
22.01.2014;1;7;27
23.01.2014;1;7;35
24.01.2014;1;7;35
25.01.2014;1;7;31
26.01.2014;1;7;41
27.01.2014;1;7;24
28.01.2014;1;7;24
29.01.2014;1;7;28
30.01.2014;1;7;36
31.01.2014;1;7;33
1.02.2014;1;7;50
2.02.2014;1;7;41
3.02.2014;1;7;24
4.02.2014;1;7;29
5.02.2014;1;7;40
6.02.2014;1;7;38
7.02.2014;1;7;32
8.02.2014;1;7;52
9.02.2014;1;7;52
10.02.2014;1;7;27
11.02.2014;1;7;43
12.02.2014;1;7;21
13.02.2014;1;7;48
14.02.2014;1;7;40
15.02.2014;1;7;44
16.02.2014;1;7;29
17.02.2014;1;7;21
18.02.2014;1;7;28
19.02.2014;1;7;35
20.02.2014;1;7;37
21.02.2014;1;7;34
22.02.2014;1;7;38
23.02.2014;1;7;38
24.02.2014;1;7;27
25.02.2014;1;7;26
26.02.2014;1;7;27
27.02.2014;1;7;43
28.02.2014;1;7;40
1.03.2014;1;7;54
2.03.2014;1;7;63
3.03.2014;1;7;33
4.03.2014;1;7;53
5.03.2014;1;7;44
6.03.2014;1;7;41
7.03.2014;1;7;46
8.03.2014;1;7;43
9.03.2014;1;7;53
10.03.2014;1;7;25
11.03.2014;1;7;43
12.03.2014;1;7;40
13.03.2014;1;7;42
14.03.2014;1;7;51
15.03.2014;1;7;42
16.03.2014;1;7;50
17.03.2014;1;7;25
18.03.2014;1;7;39
19.03.2014;1;7;40
20.03.2014;1;7;57
21.03.2014;1;7;51
22.03.2014;1;7;58
23.03.2014;1;7;39
24.03.2014;1;7;37
25.03.2014;1;7;38
26.03.2014;1;7;38
27.03.2014;1;7;39
28.03.2014;1;7;49
29.03.2014;1;7;50
30.03.2014;1;7;44
31.03.2014;1;7;36
1.04.2014;1;7;42
2.04.2014;1;7;52
3.04.2014;1;7;66
4.04.2014;1;7;47
5.04.2014;1;7;76
6.04.2014;1;7;70
7.04.2014;1;7;38
8.04.2014;1;7;35
9.04.2014;1;7;47
10.04.2014;1;7;61
11.04.2014;1;7;56
12.04.2014;1;7;67
13.04.2014;1;7;67
14.04.2014;1;7;45
15.04.2014;1;7;38
16.04.2014;1;7;50
17.04.2014;1;7;48
18.04.2014;1;7;47
19.04.2014;1;7;65
20.04.2014;1;7;63
21.04.2014;1;7;40
22.04.2014;1;7;52
23.04.2014;1;7;47
24.04.2014;1;7;60
25.04.2014;1;7;63
26.04.2014;1;7;50
27.04.2014;1;7;58
28.04.2014;1;7;26
29.04.2014;1;7;59
30.04.2014;1;7;53
1.05.2014;1;7;70
2.05.2014;1;7;54
3.05.2014;1;7;77
4.05.2014;1;7;61
5.05.2014;1;7;30
6.05.2014;1;7;56
7.05.2014;1;7;49
8.05.2014;1;7;48
9.05.2014;1;7;58
10.05.2014;1;7;67
11.05.2014;1;7;66
12.05.2014;1;7;43
13.05.2014;1;7;53
14.05.2014;1;7;48
15.05.2014;1;7;60
16.05.2014;1;7;66
17.05.2014;1;7;71
18.05.2014;1;7;71
19.05.2014;1;7;40
20.05.2014;1;7;66
21.05.2014;1;7;48
22.05.2014;1;7;66
23.05.2014;1;7;51
24.05.2014;1;7;57
25.05.2014;1;7;58
26.05.2014;1;7;50
27.05.2014;1;7;48
28.05.2014;1;7;43
29.05.2014;1;7;63
30.05.2014;1;7;67
31.05.2014;1;7;88
1.06.2014;1;7;77
2.06.2014;1;7;42
3.06.2014;1;7;55
4.06.2014;1;7;54
5.06.2014;1;7;64
6.06.2014;1;7;71
7.06.2014;1;7;73
8.06.2014;1;7;67
9.06.2014;1;7;48
10.06.2014;1;7;57
11.06.2014;1;7;56
12.06.2014;1;7;65
13.06.2014;1;7;72
14.06.2014;1;7;59
15.06.2014;1;7;75
16.06.2014;1;7;44
17.06.2014;1;7;46
18.06.2014;1;7;66
19.06.2014;1;7;68
20.06.2014;1;7;55
21.06.2014;1;7;71
22.06.2014;1;7;80
23.06.2014;1;7;44
24.06.2014;1;7;51
25.06.2014;1;7;47
26.06.2014;1;7;65
27.06.2014;1;7;64
28.06.2014;1;7;69
29.06.2014;1;7;66
30.06.2014;1;7;48
1.07.2014;1;7;55
2.07.2014;1;7;50
3.07.2014;1;7;53
4.07.2014;1;7;68
5.07.2014;1;7;74
6.07.2014;1;7;72
7.07.2014;1;7;51
8.07.2014;1;7;52
9.07.2014;1;7;57
10.07.2014;1;7;62
11.07.2014;1;7;63
12.07.2014;1;7;76
13.07.2014;1;7;71
14.07.2014;1;7;47
15.07.2014;1;7;51
16.07.2014;1;7;62
17.07.2014;1;7;79
18.07.2014;1;7;74
19.07.2014;1;7;84
20.07.2014;1;7;74
21.07.2014;1;7;49
22.07.2014;1;7;58
23.07.2014;1;7;55
24.07.2014;1;7;72
25.07.2014;1;7;67
26.07.2014;1;7;82
27.07.2014;1;7;84
28.07.2014;1;7;58
29.07.2014;1;7;55
30.07.2014;1;7;59
31.07.2014;1;7;62
1.08.2014;1;7;47
2.08.2014;1;7;54
3.08.2014;1;7;68
4.08.2014;1;7;55
5.08.2014;1;7;54
6.08.2014;1;7;49
7.08.2014;1;7;62
8.08.2014;1;7;63
9.08.2014;1;7;81
10.08.2014;1;7;69
11.08.2014;1;7;41
12.08.2014;1;7;51
13.08.2014;1;7;50
14.08.2014;1;7;60
15.08.2014;1;7;81
16.08.2014;1;7;63
17.08.2014;1;7;74
18.08.2014;1;7;42
19.08.2014;1;7;59
20.08.2014;1;7;50
21.08.2014;1;7;56
22.08.2014;1;7;72
23.08.2014;1;7;55
24.08.2014;1;7;69
25.08.2014;1;7;38
26.08.2014;1;7;56
27.08.2014;1;7;52
28.08.2014;1;7;49
29.08.2014;1;7;60
30.08.2014;1;7;75
31.08.2014;1;7;69
1.09.2014;1;7;38
2.09.2014;1;7;46
3.09.2014;1;7;45
4.09.2014;1;7;66
5.09.2014;1;7;68
6.09.2014;1;7;72
7.09.2014;1;7;73
8.09.2014;1;7;44
9.09.2014;1;7;37
10.09.2014;1;7;53
11.09.2014;1;7;60
12.09.2014;1;7;59
13.09.2014;1;7;55
14.09.2014;1;7;66
15.09.2014;1;7;32
16.09.2014;1;7;51
17.09.2014;1;7;51
18.09.2014;1;7;54
19.09.2014;1;7;58
20.09.2014;1;7;54
21.09.2014;1;7;73
22.09.2014;1;7;39
23.09.2014;1;7;54
24.09.2014;1;7;45
25.09.2014;1;7;52
26.09.2014;1;7;58
27.09.2014;1;7;45
28.09.2014;1;7;55
29.09.2014;1;7;41
30.09.2014;1;7;48
1.10.2014;1;7;46
2.10.2014;1;7;54
3.10.2014;1;7;41
4.10.2014;1;7;67
5.10.2014;1;7;61
6.10.2014;1;7;42
7.10.2014;1;7;48
8.10.2014;1;7;39
9.10.2014;1;7;42
10.10.2014;1;7;50
11.10.2014;1;7;66
12.10.2014;1;7;59
13.10.2014;1;7;30
14.10.2014;1;7;40
15.10.2014;1;7;36
16.10.2014;1;7;46
17.10.2014;1;7;46
18.10.2014;1;7;54
19.10.2014;1;7;52
20.10.2014;1;7;39
21.10.2014;1;7;47
22.10.2014;1;7;50
23.10.2014;1;7;56
24.10.2014;1;7;55
25.10.2014;1;7;59
26.10.2014;1;7;70
27.10.2014;1;7;44
28.10.2014;1;7;41
29.10.2014;1;7;29
30.10.2014;1;7;53
31.10.2014;1;7;44
1.11.2014;1;7;53
2.11.2014;1;7;54
3.11.2014;1;7;30
4.11.2014;1;7;50
5.11.2014;1;7;49
6.11.2014;1;7;64
7.11.2014;1;7;52
8.11.2014;1;7;58
9.11.2014;1;7;58
10.11.2014;1;7;45
11.11.2014;1;7;38
12.11.2014;1;7;45
13.11.2014;1;7;57
14.11.2014;1;7;51
15.11.2014;1;7;59
16.11.2014;1;7;65
17.11.2014;1;7;53
18.11.2014;1;7;46
19.11.2014;1;7;55
20.11.2014;1;7;63
21.11.2014;1;7;57
22.11.2014;1;7;56
23.11.2014;1;7;51
24.11.2014;1;7;42
25.11.2014;1;7;47
26.11.2014;1;7;50
27.11.2014;1;7;49
28.11.2014;1;7;66
29.11.2014;1;7;63
30.11.2014;1;7;55
1.12.2014;1;7;30
2.12.2014;1;7;44
3.12.2014;1;7;30
4.12.2014;1;7;32
5.12.2014;1;7;43
6.12.2014;1;7;36
7.12.2014;1;7;39
8.12.2014;1;7;24
9.12.2014;1;7;47
10.12.2014;1;7;27
11.12.2014;1;7;40
12.12.2014;1;7;26
13.12.2014;1;7;34
14.12.2014;1;7;48
15.12.2014;1;7;28
16.12.2014;1;7;31
17.12.2014;1;7;38
18.12.2014;1;7;30
19.12.2014;1;7;53
20.12.2014;1;7;42
21.12.2014;1;7;39
22.12.2014;1;7;28
23.12.2014;1;7;51
24.12.2014;1;7;34
25.12.2014;1;7;37
26.12.2014;1;7;45
27.12.2014;1;7;31
28.12.2014;1;7;44
29.12.2014;1;7;26
30.12.2014;1;7;36
31.12.2014;1;7;28
1.01.2015;1;7;37
2.01.2015;1;7;38
3.01.2015;1;7;47
4.01.2015;1;7;48
5.01.2015;1;7;23
6.01.2015;1;7;30
7.01.2015;1;7;29
8.01.2015;1;7;23
9.01.2015;1;7;35
10.01.2015;1;7;44
11.01.2015;1;7;42
12.01.2015;1;7;35
13.01.2015;1;7;31
14.01.2015;1;7;22
15.01.2015;1;7;29
16.01.2015;1;7;31
17.01.2015;1;7;50
18.01.2015;1;7;34
19.01.2015;1;7;33
20.01.2015;1;7;40
21.01.2015;1;7;25
22.01.2015;1;7;45
23.01.2015;1;7;38
24.01.2015;1;7;41
25.01.2015;1;7;52
26.01.2015;1;7;28
27.01.2015;1;7;28
28.01.2015;1;7;34
29.01.2015;1;7;35
30.01.2015;1;7;27
31.01.2015;1;7;32
1.02.2015;1;7;37
2.02.2015;1;7;28
3.02.2015;1;7;37
4.02.2015;1;7;41
5.02.2015;1;7;41
6.02.2015;1;7;38
7.02.2015;1;7;41
8.02.2015;1;7;55
9.02.2015;1;7;42
10.02.2015;1;7;44
11.02.2015;1;7;38
12.02.2015;1;7;30
13.02.2015;1;7;43
14.02.2015;1;7;44
15.02.2015;1;7;54
16.02.2015;1;7;19
17.02.2015;1;7;35
18.02.2015;1;7;39
19.02.2015;1;7;34
20.02.2015;1;7;35
21.02.2015;1;7;46
22.02.2015;1;7;42
23.02.2015;1;7;38
24.02.2015;1;7;29
25.02.2015;1;7;39
26.02.2015;1;7;48
27.02.2015;1;7;53
28.02.2015;1;7;41
1.03.2015;1;7;65
2.03.2015;1;7;37
3.03.2015;1;7;36
4.03.2015;1;7;48
5.03.2015;1;7;46
6.03.2015;1;7;49
7.03.2015;1;7;46
8.03.2015;1;7;69
9.03.2015;1;7;43
10.03.2015;1;7;42
11.03.2015;1;7;36
12.03.2015;1;7;56
13.03.2015;1;7;45
14.03.2015;1;7;63
15.03.2015;1;7;60
16.03.2015;1;7;42
17.03.2015;1;7;40
18.03.2015;1;7;38
19.03.2015;1;7;42
20.03.2015;1;7;51
21.03.2015;1;7;58
22.03.2015;1;7;56
23.03.2015;1;7;37
24.03.2015;1;7;42
25.03.2015;1;7;40
26.03.2015;1;7;42
27.03.2015;1;7;50
28.03.2015;1;7;42
29.03.2015;1;7;67
30.03.2015;1;7;22
31.03.2015;1;7;42
1.04.2015;1;7;47
2.04.2015;1;7;55
3.04.2015;1;7;58
4.04.2015;1;7;62
5.04.2015;1;7;77
6.04.2015;1;7;41
7.04.2015;1;7;61
8.04.2015;1;7;62
9.04.2015;1;7;61
10.04.2015;1;7;68
11.04.2015;1;7;66
12.04.2015;1;7;68
13.04.2015;1;7;42
14.04.2015;1;7;59
15.04.2015;1;7;60
16.04.2015;1;7;69
17.04.2015;1;7;53
18.04.2015;1;7;68
19.04.2015;1;7;71
20.04.2015;1;7;51
21.04.2015;1;7;34
22.04.2015;1;7;55
23.04.2015;1;7;51
24.04.2015;1;7;50
25.04.2015;1;7;61
26.04.2015;1;7;74
27.04.2015;1;7;48
28.04.2015;1;7;52
29.04.2015;1;7;50
30.04.2015;1;7;52
1.05.2015;1;7;57
2.05.2015;1;7;70
3.05.2015;1;7;73
4.05.2015;1;7;48
5.05.2015;1;7;57
6.05.2015;1;7;53
7.05.2015;1;7;48
8.05.2015;1;7;69
9.05.2015;1;7;64
10.05.2015;1;7;70
11.05.2015;1;7;49
12.05.2015;1;7;63
13.05.2015;1;7;49
14.05.2015;1;7;56
15.05.2015;1;7;67
16.05.2015;1;7;79
17.05.2015;1;7;63
18.05.2015;1;7;67
19.05.2015;1;7;47
20.05.2015;1;7;54
21.05.2015;1;7;67
22.05.2015;1;7;55
23.05.2015;1;7;70
24.05.2015;1;7;78
25.05.2015;1;7;46
26.05.2015;1;7;52
27.05.2015;1;7;68
28.05.2015;1;7;66
29.05.2015;1;7;54
30.05.2015;1;7;85
31.05.2015;1;7;86
1.06.2015;1;7;48
2.06.2015;1;7;59
3.06.2015;1;7;55
4.06.2015;1;7;69
5.06.2015;1;7;65
6.06.2015;1;7;72
7.06.2015;1;7;64
8.06.2015;1;7;56
9.06.2015;1;7;67
10.06.2015;1;7;54
11.06.2015;1;7;62
12.06.2015;1;7;71
13.06.2015;1;7;85
14.06.2015;1;7;74
15.06.2015;1;7;47
16.06.2015;1;7;67
17.06.2015;1;7;47
18.06.2015;1;7;73
19.06.2015;1;7;65
20.06.2015;1;7;69
21.06.2015;1;7;84
22.06.2015;1;7;47
23.06.2015;1;7;52
24.06.2015;1;7;60
25.06.2015;1;7;79
26.06.2015;1;7;68
27.06.2015;1;7;80
28.06.2015;1;7;85
29.06.2015;1;7;55
30.06.2015;1;7;59
1.07.2015;1;7;61
2.07.2015;1;7;59
3.07.2015;1;7;75
4.07.2015;1;7;98
5.07.2015;1;7;75
6.07.2015;1;7;60
7.07.2015;1;7;69
8.07.2015;1;7;49
9.07.2015;1;7;59
10.07.2015;1;7;72
11.07.2015;1;7;62
12.07.2015;1;7;83
13.07.2015;1;7;54
14.07.2015;1;7;69
15.07.2015;1;7;53
16.07.2015;1;7;68
17.07.2015;1;7;71
18.07.2015;1;7;100
19.07.2015;1;7;81
20.07.2015;1;7;52
21.07.2015;1;7;75
22.07.2015;1;7;59
23.07.2015;1;7;72
24.07.2015;1;7;77
25.07.2015;1;7;74
26.07.2015;1;7;85
27.07.2015;1;7;52
28.07.2015;1;7;69
29.07.2015;1;7;61
30.07.2015;1;7;63
31.07.2015;1;7;75
1.08.2015;1;7;67
2.08.2015;1;7;72
3.08.2015;1;7;63
4.08.2015;1;7;48
5.08.2015;1;7;57
6.08.2015;1;7;68
7.08.2015;1;7;60
8.08.2015;1;7;67
9.08.2015;1;7;64
10.08.2015;1;7;43
11.08.2015;1;7;58
12.08.2015;1;7;57
13.08.2015;1;7;39
14.08.2015;1;7;54
15.08.2015;1;7;59
16.08.2015;1;7;76
17.08.2015;1;7;54
18.08.2015;1;7;62
19.08.2015;1;7;66
20.08.2015;1;7;60
21.08.2015;1;7;61
22.08.2015;1;7;69
23.08.2015;1;7;68
24.08.2015;1;7;37
25.08.2015;1;7;74
26.08.2015;1;7;52
27.08.2015;1;7;64
28.08.2015;1;7;58
29.08.2015;1;7;84
30.08.2015;1;7;78
31.08.2015;1;7;42
1.09.2015;1;7;48
2.09.2015;1;7;49
3.09.2015;1;7;48
4.09.2015;1;7;54
5.09.2015;1;7;60
6.09.2015;1;7;51
7.09.2015;1;7;36
8.09.2015;1;7;51
9.09.2015;1;7;40
10.09.2015;1;7;49
11.09.2015;1;7;60
12.09.2015;1;7;67
13.09.2015;1;7;61
14.09.2015;1;7;36
15.09.2015;1;7;44
16.09.2015;1;7;56
17.09.2015;1;7;56
18.09.2015;1;7;70
19.09.2015;1;7;64
20.09.2015;1;7;54
21.09.2015;1;7;32
22.09.2015;1;7;60
23.09.2015;1;7;40
24.09.2015;1;7;63
25.09.2015;1;7;57
26.09.2015;1;7;77
27.09.2015;1;7;53
28.09.2015;1;7;45
29.09.2015;1;7;55
30.09.2015;1;7;54
1.10.2015;1;7;61
2.10.2015;1;7;55
3.10.2015;1;7;60
4.10.2015;1;7;64
5.10.2015;1;7;38
6.10.2015;1;7;40
7.10.2015;1;7;40
8.10.2015;1;7;59
9.10.2015;1;7;68
10.10.2015;1;7;59
11.10.2015;1;7;64
12.10.2015;1;7;45
13.10.2015;1;7;60
14.10.2015;1;7;56
15.10.2015;1;7;62
16.10.2015;1;7;50
17.10.2015;1;7;61
18.10.2015;1;7;77
19.10.2015;1;7;51
20.10.2015;1;7;38
21.10.2015;1;7;38
22.10.2015;1;7;40
23.10.2015;1;7;55
24.10.2015;1;7;60
25.10.2015;1;7;76
26.10.2015;1;7;35
27.10.2015;1;7;40
28.10.2015;1;7;50
29.10.2015;1;7;47
30.10.2015;1;7;61
31.10.2015;1;7;55
1.11.2015;1;7;67
2.11.2015;1;7;41
3.11.2015;1;7;42
4.11.2015;1;7;49
5.11.2015;1;7;56
6.11.2015;1;7;73
7.11.2015;1;7;47
8.11.2015;1;7;57
9.11.2015;1;7;38
10.11.2015;1;7;44
11.11.2015;1;7;63
12.11.2015;1;7;47
13.11.2015;1;7;56
14.11.2015;1;7;56
15.11.2015;1;7;72
16.11.2015;1;7;58
17.11.2015;1;7;58
18.11.2015;1;7;55
19.11.2015;1;7;67
20.11.2015;1;7;67
21.11.2015;1;7;79
22.11.2015;1;7;57
23.11.2015;1;7;43
24.11.2015;1;7;45
25.11.2015;1;7;45
26.11.2015;1;7;50
27.11.2015;1;7;59
28.11.2015;1;7;62
29.11.2015;1;7;69
30.11.2015;1;7;43
1.12.2015;1;7;40
2.12.2015;1;7;38
3.12.2015;1;7;37
4.12.2015;1;7;49
5.12.2015;1;7;49
6.12.2015;1;7;44
7.12.2015;1;7;28
8.12.2015;1;7;28
9.12.2015;1;7;43
10.12.2015;1;7;41
11.12.2015;1;7;44
